% ---------------------------------- W RNING ----------------------------------------                     
% Some of the d t  th t you h ve obt ined from this U.S. Geologic l Survey d t b se                       
% m y not h ve received Director's    rov l.  ny such d t  v lues  re qu lified                           
%  s  rovision l  nd  re subject to revision.  rovision l d t   re rele sed on the                        
% condition th t neither the USGS nor the United St tes Government m y be held li ble                     
% for  ny d m ges resulting from its use.                                                                 
%                                                                                                         
%  ddition l info: htt s://hel .w terd t .usgs.gov/ olicies/ rovision l-d t -st tement                    
%                                                                                                         
% File-form t descri tion:  htt s://hel .w terd t .usgs.gov/f q/ bout-t b-delimited-out ut                
%  utom ted-retriev l info: htt s://hel .w terd t .usgs.gov/f q/ utom ted-retriev ls                      
%                                                                                                         
% Cont ct:   gs-w_su  ort_nwisweb@usgs.gov                                                                
% retrieved: 2020-03-26 16:02:43 EDT       (n dww02)                                                      
%                                                                                                         
% D t  for the following 1 site(s)  re cont ined in this file                                             
%    USGS 07374525 Mississi  i River  t Belle Ch sse, L                                                   
% -----------------------------------------------------------------------------------                     
%                                                                                                         
% D t   rovided for site 07374525                                                                         
%            TS     r meter     st tistic     Descri tion                                                 
%         61181       00065     00003     G ge height, feet (Me n)                                        
%         61182       00060     00003     Disch rge, cubic feet  er second (Me n)                         
%                                                                                                         
% D t -v lue qu lific tion codes included in this out ut:                                                 
%                                                                                                         
%           roved for  ublic tion --  rocessing  nd review com leted.                                     
%         rovision l d t  subject to revision.                                                            
%     e  V lue h s been estim ted.                                                                        
%                                                                                                         
% gency_cd	site_no	d tetime	61181_00065_00003	61181_00065_00003_cd	61182_00060_00003	61182_00060_00003_cd
%5s	15s	20d	14n	10s	14n	10s                                                                               
2009 01 01	10.11	 	538000	                                                              
2009 01 02	10.37	 	544000	                                                              
2009 01 03	10.62	 	554000	                                                              
2009 01 04	10.90	 	576000	                                                              
2009 01 05	11.18	 	607000	                                                              
2009 01 06	11.66	 	637000	                                                              
2009 01 07	11.89	 	694000	                                                              
2009 01 08	12.26	 	721000	                                                              
2009 01 09	12.60	 	721000	                                                              
2009 01 10	12.92	 	739000	                                                              
2009 01 11	12.89	 	780000	                                                              
2009 01 12	12.96	 	719000	                                                              
2009 01 13	12.69	 	716000	                                                              
2009 01 14	12.44	 	667000	                                                              
2009 01 15	12.16	 	662000	                                                              
2009 01 16	12.03	 	639000	                                                              
2009 01 17	11.92	 	620000	                                                              
2009 01 18	11.90	 	637000	                                                              
2009 01 19	11.91	 	642000	                                                              
2009 01 20	11.85	 	659000	                                                              
2009 01 21	11.83	 	632000	                                                              
2009 01 22	11.87	 	618000	                                                              
2009 01 23	11.78	 	617000	                                                              
2009 01 24	11.49	 	594000	                                                              
2009 01 25	11.04	 	573000	                                                              
2009 01 26	10.56	 	523000	                                                              
2009 01 27	10.12	 	492000	                                                              
2009 01 28	9.65	 	476000	                                                              
2009 01 29	9.27	 	443000	                                                              
2009 01 30	8.84	 	416000	                                                              
2009 01 31	8.52	 	400000	                                                              
2009 02 01	8.49	 	369000	                                                              
2009 02 02	8.76	 	385000	                                                              
2009 02 03	8.76	 	381000	                                                              
2009 02 04	8.53	 	379000	                                                              
2009 02 05	8.31	 	363000	                                                          
2009 02 06	8.50	 	361000	                                                              
2009 02 07	8.82	 	368000	                                                              
2009 02 08	9.13	 	396000	                                                              
