       1.000	      10.000	      30.000
       2.000	      10.000	      30.000
       3.000	      10.000	      30.000
       4.000	      10.000	      30.000
       5.000	      10.000	      30.000
       6.000	      10.000	      30.000
       7.000	      10.000	      30.000
       8.000	      10.000	      30.000
       9.000	      10.000	      30.000
      10.000	      10.000	      30.000
      11.000	      10.000	      30.000
      12.000	      10.000	      30.000
      13.000	      10.000	      30.000
      14.000	      10.000	      30.000
      15.000	      10.000	      30.000
      16.000	      10.000	      30.000
      17.000	      10.000	      30.000
      18.000	      10.000	      30.000
      19.000	      10.000	      30.000
      20.000	      10.000	      30.000
      21.000	      10.000	      30.000
